שנה,גבוהה,בינונית,נמוכה,אומדנים,,
1948,0.9,0.9,0.9,0.9,,
1949,1.2,1.2,1.2,1.2,,
1950,1.4,1.4,1.4,1.4,,
1951,1.6,1.6,1.6,1.6,,
1952,1.6,1.6,1.6,1.6,,
1953,1.7,1.7,1.7,1.7,,
1954,1.7,1.7,1.7,1.7,,
1955,1.8,1.8,1.8,1.8,,
1956,1.9,1.9,1.9,1.9,,
1957,2.0,2.0,2.0,2.0,,
1958,2.0,2.0,2.0,2.0,,
1959,2.1,2.1,2.1,2.1,,
1960,2.2,2.2,2.2,2.2,,
1961,2.2,2.2,2.2,2.2,,
1962,2.3,2.3,2.3,2.3,,
1963,2.4,2.4,2.4,2.4,,
1964,2.5,2.5,2.5,2.5,,
1965,2.6,2.6,2.6,2.6,,
1966,2.7,2.7,2.7,2.7,,
1967,2.8,2.8,2.8,2.8,,
1968,2.8,2.8,2.8,2.8,,
1969,2.9,2.9,2.9,2.9,,
1970,3.0,3.0,3.0,3.0,,
1971,3.1,3.1,3.1,3.1,,
1972,3.2,3.2,3.2,3.2,,
1973,3.3,3.3,3.3,3.3,,
1974,3.4,3.4,3.4,3.4,,
1975,3.5,3.5,3.5,3.5,,
1976,3.6,3.6,3.6,3.6,,
1977,3.7,3.7,3.7,3.7,,
1978,3.7,3.7,3.7,3.7,,
1979,3.8,3.8,3.8,3.8,,
1980,3.9,3.9,3.9,3.9,,
1981,4.0,4.0,4.0,4.0,,
1982,4.1,4.1,4.1,4.1,,
1983,4.1,4.1,4.1,4.1,,
1984,4.2,4.2,4.2,4.2,,
1985,4.3,4.3,4.3,4.3,,
1986,4.3,4.3,4.3,4.3,,
1987,4.4,4.4,4.4,4.4,,
1988,4.5,4.5,4.5,4.5,,
1989,4.6,4.6,4.6,4.6,,
1990,4.8,4.8,4.8,4.8,,
1991,5.1,5.1,5.1,5.1,,
1992,5.2,5.2,5.2,5.2,,
1993,5.3,5.3,5.3,5.3,,
1994,5.5,5.5,5.5,5.5,,
1995,5.6,5.6,5.6,5.6,,
1996,5.8,5.8,5.8,5.8,,
1997,5.9,5.9,5.9,5.9,,
1998,6.0,6.0,6.0,6.0,,
1999,6.2,6.2,6.2,6.2,,
2000,6.4,6.4,6.4,6.4,,
2001,6.5,6.5,6.5,6.5,,
2002,6.6,6.6,6.6,6.6,,
2003,6.7,6.7,6.7,6.7,,
2004,6.9,6.9,6.9,6.9,,
2005,7.0,7.0,7.0,7.0,,
2006,7.1,7.1,7.1,7.1,,
2007,7.2,7.2,7.2,7.2,,
2008,7.4,7.4,7.4,7.4,,
2009,7.6,7.6,7.6,7.6,,
2010,7.7,7.7,7.7,7.7,,
2011,7.8,7.8,7.8,7.8,,
2012,8.0,8.0,8.0,8.0,,
2013,8.1,8.1,8.1,8.1,,
2014,8.3,8.3,8.3,8.3,,
2015,8.5,8.5,8.5,8.5,,
2016,8.6,8.6,8.6,,,
2017,8.8,8.8,8.8,,,
2018,9.0,9.0,8.9,,,
2019,9.2,9.1,9.1,,,
2020,9.4,9.3,9.2,,,
2021,9.6,9.5,9.4,,,
2022,9.8,9.6,9.5,,,
2023,10.0,9.8,9.7,,,
2024,10.2,10.0,9.8,,,
2025,10.4,10.2,10.0,,,
2026,10.6,10.4,10.1,,,
2027,10.8,10.6,10.3,,,
2028,11.1,10.7,10.4,,,
2029,11.3,10.9,10.6,,,
2030,11.5,11.1,10.7,,,
2031,11.8,11.3,10.9,,,
2032,12.0,11.5,11.0,,,
2033,12.2,11.7,11.2,,,
2034,12.5,11.9,11.3,,,
2035,12.8,12.1,11.5,,,
2036,13.0,12.3,11.6,,,
2037,13.3,12.6,11.8,,,
2038,13.6,12.8,12.0,,,
2039,13.9,13.0,12.1,,,
2040,14.2,13.2,12.3,,,
2041,14.5,13.5,12.4,,,
2042,14.8,13.7,12.6,,,
2043,15.1,13.9,12.7,,,
2044,15.4,14.2,12.9,,,
2045,15.8,14.4,13.1,,,
2046,16.1,14.7,13.2,,,
2047,16.5,14.9,13.4,,,
2048,16.8,15.2,13.5,,,
2049,17.2,15.4,13.6,,,
2050,17.6,15.7,13.8,,,
2051,18.0,15.9,13.9,,,
2052,18.4,16.2,14.1,,,
2053,18.8,16.5,14.2,,,
2054,19.3,16.7,14.3,,,
2055,19.7,17.0,14.5,,,
2056,20.2,17.3,14.6,,,
2057,20.6,17.6,14.7,,,
2058,21.1,17.9,14.8,,,
2059,21.6,18.2,15.0,,,
2060,22.1,18.4,15.1,,,
2061,22.6,18.7,15.2,,,
2062,23.2,19.0,15.3,,,
2063,23.7,19.3,15.4,,,
2064,24.3,19.6,15.5,,,
2065,24.9,20.0,15.6,,,
,,,,,,
